,A,B,C,label
0,-1113.9245810843745,952.1054042502593,-276.0458808626098,-1294.2889178245528
1,-2229.4802276694913,1111.4885678419328,-93.45410720490126,-27146.87008355568
2,2717.2577128273783,53.43123706094761,-179.22859091730274,64743.001718168875
3,-1638.783965093186,-632.9194474178132,-106.17023733607995,-7349.870787949541
4,5173.934337916916,-721.8955770946046,-75.07484001355849,1651328.1459858099
5,78.64710599789963,53.55037471220044,-140.98134684333547,-0.007752981954379517
6,-1448.4315013354621,1075.497906275215,-101.89176756288147,-3844.968981403314
7,3878.1442413318773,-627.0731133901503,-260.05771154779467,370091.8221554208
8,-89.03066685404545,-100.676390871107,-259.8368615973292,-0.7145428006466176
9,2251.6205149349034,489.55803412977565,-223.11510878839056,26367.08304250431
10,3275.961672885465,432.0504783434685,-125.81895062752696,177158.80250766425
11,-1829.322225658179,153.84368706887713,-112.94783814428426,-9927.207561554982
12,4177.022338315504,976.612009110685,-180.99882130771667,624605.1441934451
13,-1738.6189340527233,-202.35923705134388,-265.66092669669916,-9134.990097769569
14,-5120.268757397755,-1415.3708231963992,-197.8926058063615,-1954778.0454777023
15,-3655.25788313419,-240.6096064047436,-140.77385898743148,-324124.5406918473
16,1513.026313364059,378.98793743395026,-176.6807202915514,3598.444469746709
17,1047.8021457631146,-221.38878392068682,-100.450130516631,516.7276520344535
18,-1969.2869493428168,-228.54796902204788,-169.758421626288,-15836.882494763915
19,1441.3695659993562,314.16722011662716,-137.87280778655608,2847.1913277922613
20,4429.707052136721,-218.33743579576424,-163.4937416623929,754918.7867610786
21,2035.119871816334,2166.1495163733925,-277.26051104098485,40247.2797065627
22,514.6085203670741,-174.3763098948246,-148.33202537904825,12.192020749534356
23,3317.392001487226,1380.4381511682068,-27.030972146183146,233776.18634339646
24,4008.2535256668893,615.3750050394669,-69.00756949302294,502500.41538613196
25,1274.9582922968789,1362.9257119382341,-88.70063587801675,4247.037320061437
26,-2400.8700410529555,526.4686192302106,-108.57618507410838,-37320.95792942443
27,1722.7479958177366,-1034.516972084815,-184.60782496829702,7057.832319001075
28,-6349.799837991909,558.8602947123059,-116.60398408007538,-4790098.21428731
29,592.9749549772939,105.49807575462387,-354.33282616019585,15.139755376520965
30,-4057.5017330623305,1850.0482380178735,-249.35434825323125,-540506.235803549
31,-3189.4835926934256,414.1477461412395,-101.71299170550482,-153973.6619243645
32,-1360.9246855981785,-450.64070041696414,-171.7775755753616,-2996.3916004096313
33,4050.223153780415,-631.7187886263675,-105.8831068515542,479033.87077160756
34,4121.609289447184,-204.9275875770926,-194.2186661789101,520854.1110732394
35,-2137.2327533769626,-848.8335123517811,-54.14011661613027,-26633.877139573964
36,-1352.6663575158946,685.7704174032191,-141.3920238141908,-2349.605290441325
37,-4035.6948778402066,-647.8210168308864,-266.08097904977535,-572696.7301784849
38,-2306.074109745897,908.8095899961543,-199.670080863515,-32097.15347031474
39,3001.887417509835,-153.6465906008695,-228.55516275154037,103512.39742005576
40,-2279.8018902496588,618.562097069786,-59.680993625161435,-28321.43178011058
41,6928.40653096117,1131.6934946218585,-203.7541812882987,7683099.597830954
